id:ID	:LABEL	label
GO:0060203	CellularComponent	clathrin-sculpted glutamate transport vesicle membrane
GO:0070013	CellularComponent	intracellular organelle lumen
GO:0070382	CellularComponent	exocytic vesicle
GO:1904724	CellularComponent	tertiary granule lumen
GO:0009897	CellularComponent	external side of plasma membrane
GO:0005576	CellularComponent	extracellular region
GO:0005697	CellularComponent	telomerase holoenzyme complex
GO:0036156	CellularComponent	inner dynein arm
GO:0031902	CellularComponent	late endosome membrane
GO:0044431	CellularComponent	Golgi apparatus part
GO:0033645	CellularComponent	host cell endomembrane system
GO:0035578	CellularComponent	azurophil granule lumen
GO:0034493	CellularComponent	melanosome lumen
GO:0044215	CellularComponent	other organism
GO:0099568	CellularComponent	cytoplasmic region
GO:0035580	CellularComponent	specific granule lumen
GO:0005874	CellularComponent	microtubule
GO:0005764	CellularComponent	lysosome
GO:0016021	CellularComponent	integral component of membrane
GO:0042025	CellularComponent	host cell nucleus
GO:0012506	CellularComponent	vesicle membrane
GO:0005770	CellularComponent	late endosome
GO:0005945	CellularComponent	6-phosphofructokinase complex
GO:0005956	CellularComponent	protein kinase CK2 complex
GO:0045202	CellularComponent	synapse
GO:0097232	CellularComponent	lamellar body membrane
GO:0000783	CellularComponent	nuclear telomere cap complex
GO:0031090	CellularComponent	organelle membrane
GO:0043202	CellularComponent	lysosomal lumen
GO:0031211	CellularComponent	endoplasmic reticulum palmitoyltransferase complex
GO:0098588	CellularComponent	bounding membrane of organelle
GO:0044422	CellularComponent	organelle part
GO:0044459	CellularComponent	plasma membrane part
GO:0060198	CellularComponent	clathrin-sculpted vesicle
GO:0097478	CellularComponent	leaflet of membrane bilayer
GO:0070820	CellularComponent	tertiary granule
GO:0098791	CellularComponent	Golgi subcompartment
GO:1990909	CellularComponent	Wnt signalosome
GO:0005775	CellularComponent	vacuolar lumen
GO:0098802	CellularComponent	plasma membrane receptor complex
GO:0099080	CellularComponent	supramolecular complex
GO:0005739	CellularComponent	mitochondrion
GO:0018995	CellularComponent	host
GO:0005578	CellularComponent	proteinaceous extracellular matrix
GO:0005604	CellularComponent	basement membrane
GO:0005662	CellularComponent	DNA replication factor A complex
GO:1990234	CellularComponent	transferase complex
GO:0045281	CellularComponent	succinate dehydrogenase complex
GO:0031092	CellularComponent	platelet alpha granule membrane
GO:0043256	CellularComponent	laminin complex
GO:0030867	CellularComponent	rough endoplasmic reticulum membrane
GO:0001891	CellularComponent	phagocytic cup
GO:0030880	CellularComponent	RNA polymerase complex
GO:0031974	CellularComponent	membrane-enclosed lumen
GO:0002178	CellularComponent	palmitoyltransferase complex
GO:0097013	CellularComponent	phagocytic vesicle lumen
GO:0030141	CellularComponent	secretory granule
GO:0043657	CellularComponent	host cell
GO:0005776	CellularComponent	autophagosome
GO:0044221	CellularComponent	host cell synapse
GO:0001533	CellularComponent	cornified envelope
GO:0099503	CellularComponent	secretory vesicle
GO:0097708	CellularComponent	intracellular vesicle
GO:0098803	CellularComponent	respiratory chain complex
GO:0098799	CellularComponent	outer mitochondrial membrane protein complex
GO:0098793	CellularComponent	presynapse
GO:0061695	CellularComponent	transferase complex, transferring phosphorus-containing groups
GO:0005773	CellularComponent	vacuole
GO:0019866	CellularComponent	organelle inner membrane
GO:0012505	CellularComponent	endomembrane system
GO:0005758	CellularComponent	mitochondrial intermembrane space
GO:0005769	CellularComponent	early endosome
GO:0005947	CellularComponent	mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0098552	CellularComponent	side of membrane
GO:0098562	CellularComponent	cytoplasmic side of membrane
GO:0045257	CellularComponent	succinate dehydrogenase complex (ubiquinone)
GO:0030666	CellularComponent	endocytic vesicle membrane
GO:0097223	CellularComponent	sperm part
GO:0031093	CellularComponent	platelet alpha granule lumen
GO:0043228	CellularComponent	non-membrane-bounded organelle
GO:0031967	CellularComponent	organelle envelope
GO:0044428	CellularComponent	nuclear part
GO:0044427	CellularComponent	chromosomal part
GO:0044440	CellularComponent	endosomal part
GO:0044430	CellularComponent	cytoskeletal part
GO:0055029	CellularComponent	nuclear DNA-directed RNA polymerase complex
GO:0044174	CellularComponent	host cell endosome
GO:0098827	CellularComponent	endoplasmic reticulum subcompartment
GO:0120025	CellularComponent	plasma membrane bounded cell projection
GO:0005623	CellularComponent	cell
GO:0005856	CellularComponent	cytoskeleton
GO:0098585	CellularComponent	host cell synaptic vesicle membrane
GO:0005605	CellularComponent	basal lamina
GO:0005788	CellularComponent	endoplasmic reticulum lumen
GO:0009336	CellularComponent	sulfate adenylyltransferase complex (ATP)
GO:0031095	CellularComponent	platelet dense tubular network membrane
GO:0030990	CellularComponent	intraciliary transport particle
GO:0072492	CellularComponent	host cell mitochondrial intermembrane space
GO:0098636	CellularComponent	protein complex involved in cell adhesion
GO:0030054	CellularComponent	cell junction
GO:0008305	CellularComponent	integrin complex
GO:0044445	CellularComponent	cytosolic part
GO:0055037	CellularComponent	recycling endosome
GO:0032010	CellularComponent	phagolysosome
GO:0034364	CellularComponent	high-density lipoprotein particle
GO:0070083	CellularComponent	clathrin-sculpted monoamine transport vesicle membrane
GO:0044175	CellularComponent	host cell endosome membrane
GO:0036338	CellularComponent	viral membrane
GO:0098805	CellularComponent	whole membrane
GO:0035579	CellularComponent	specific granule membrane
GO:0101003	CellularComponent	ficolin-1-rich granule membrane
GO:0099081	CellularComponent	supramolecular polymer
GO:0005635	CellularComponent	nuclear envelope
GO:0030660	CellularComponent	Golgi-associated vesicle membrane
GO:0045334	CellularComponent	clathrin-coated endocytic vesicle
GO:0000139	CellularComponent	Golgi membrane
GO:0000781	CellularComponent	chromosome, telomeric region
GO:0043227	CellularComponent	membrane-bounded organelle
GO:0031012	CellularComponent	extracellular matrix
GO:0043230	CellularComponent	extracellular organelle
GO:0031975	CellularComponent	envelope
GO:0031981	CellularComponent	nuclear lumen
GO:0031968	CellularComponent	organelle outer membrane
GO:0044441	CellularComponent	ciliary part
GO:0032588	CellularComponent	trans-Golgi network membrane
GO:0071458	CellularComponent	integral component of cytoplasmic side of endoplasmic reticulum membrane
GO:0070821	CellularComponent	tertiary granule membrane
GO:0005881	CellularComponent	cytoplasmic microtubule
GO:1990204	CellularComponent	oxidoreductase complex
GO:0097458	CellularComponent	neuron part
GO:0042587	CellularComponent	glycogen granule
GO:0005741	CellularComponent	mitochondrial outer membrane
GO:0042622	CellularComponent	photoreceptor outer segment membrane
GO:0043229	CellularComponent	intracellular organelle
GO:0090575	CellularComponent	RNA polymerase II transcription factor complex
GO:0044420	CellularComponent	extracellular matrix component
GO:0044462	CellularComponent	external encapsulating structure part
GO:0033648	CellularComponent	host intracellular membrane-bounded organelle
GO:0060199	CellularComponent	clathrin-sculpted glutamate transport vesicle
GO:0060202	CellularComponent	clathrin-sculpted acetylcholine transport vesicle lumen
GO:0060342	CellularComponent	photoreceptor inner segment membrane
GO:0070565	CellularComponent	telomere-telomerase complex
GO:0044161	CellularComponent	host cell cytoplasmic vesicle
GO:0070721	CellularComponent	ISGF3 complex
GO:1904813	CellularComponent	ficolin-1-rich granule lumen
GO:0071682	CellularComponent	endocytic vesicle lumen
GO:0005622	CellularComponent	intracellular
GO:0005737	CellularComponent	cytoplasm
GO:0097545	CellularComponent	axonemal outer doublet
GO:0016528	CellularComponent	sarcoplasm
GO:0000775	CellularComponent	chromosome, centromeric region
GO:0031261	CellularComponent	DNA replication preinitiation complex
GO:0031966	CellularComponent	mitochondrial membrane
GO:0035869	CellularComponent	ciliary transition zone
GO:0044425	CellularComponent	membrane part
GO:0044433	CellularComponent	cytoplasmic vesicle part
GO:0032300	CellularComponent	mismatch repair complex
GO:0044094	CellularComponent	host cell nuclear part
GO:0044178	CellularComponent	host cell Golgi membrane
GO:0044217	CellularComponent	other organism part
GO:0097373	CellularComponent	MCM core complex
GO:0098798	CellularComponent	mitochondrial protein complex
GO:0090741	CellularComponent	pigment granule membrane
GO:0009532	CellularComponent	plastid stroma
GO:0042555	CellularComponent	MCM complex
GO:0042581	CellularComponent	specific granule
GO:0005811	CellularComponent	lipid droplet
GO:0005790	CellularComponent	smooth endoplasmic reticulum
GO:0098554	CellularComponent	cytoplasmic side of endoplasmic reticulum membrane
GO:0017101	CellularComponent	aminoacyl-tRNA synthetase multienzyme complex
GO:0009320	CellularComponent	phosphoribosylaminoimidazole carboxylase complex
GO:0009348	CellularComponent	ornithine carbamoyltransferase complex
GO:0005740	CellularComponent	mitochondrial envelope
GO:0010008	CellularComponent	endosome membrane
GO:0042599	CellularComponent	lamellar body
GO:0031089	CellularComponent	platelet dense granule lumen
GO:0043231	CellularComponent	intracellular membrane-bounded organelle
GO:0031253	CellularComponent	cell projection membrane
GO:0097014	CellularComponent	ciliary plasm
GO:0044439	CellularComponent	peroxisomal part
GO:0033647	CellularComponent	host intracellular organelle
GO:0033018	CellularComponent	sarcoplasmic reticulum lumen
GO:0032994	CellularComponent	protein-lipid complex
GO:0034688	CellularComponent	integrin alphaM-beta2 complex
GO:0070062	CellularComponent	extracellular exosome
GO:0070187	CellularComponent	shelterin complex
GO:0044162	CellularComponent	host cell cytoplasmic vesicle membrane
GO:0101002	CellularComponent	ficolin-1-rich granule
GO:0044798	CellularComponent	nuclear transcription factor complex
GO:0020002	CellularComponent	host cell plasma membrane
GO:0005654	CellularComponent	nucleoplasm
GO:0030665	CellularComponent	clathrin-coated vesicle membrane
GO:0030136	CellularComponent	clathrin-coated vesicle
GO:0030062	CellularComponent	mitochondrial tricarboxylic acid cycle enzyme complex
GO:0098584	CellularComponent	host cell synaptic vesicle
GO:0017059	CellularComponent	serine C-palmitoyltransferase complex
GO:0000790	CellularComponent	nuclear chromatin
GO:0000785	CellularComponent	chromatin
GO:0043235	CellularComponent	receptor complex
GO:0031984	CellularComponent	organelle subcompartment
GO:0043601	CellularComponent	nuclear replisome
GO:0031904	CellularComponent	endosome lumen
GO:0031528	CellularComponent	microvillus membrane
GO:0005618	CellularComponent	cell wall
GO:0033643	CellularComponent	host cell part
GO:0060200	CellularComponent	clathrin-sculpted acetylcholine transport vesicle
GO:0033650	CellularComponent	host cell mitochondrion
GO:0033017	CellularComponent	sarcoplasmic reticulum membrane
GO:0060201	CellularComponent	clathrin-sculpted acetylcholine transport vesicle membrane
GO:0097650	CellularComponent	B axonemal microtubule
GO:0097381	CellularComponent	photoreceptor disc membrane
GO:0034045	CellularComponent	phagophore assembly site membrane
GO:1990716	CellularComponent	axonemal central apparatus
GO:0005774	CellularComponent	vacuolar membrane
GO:1905368	CellularComponent	peptidase complex
GO:0036020	CellularComponent	endolysosome membrane
GO:0005759	CellularComponent	mitochondrial matrix
